Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz to ./data/MNIST/raw/train-images-idx3-ubyte.gz
Extracting ./data/MNIST/raw/train-images-idx3-ubyte.gz to ./data/MNIST/raw
Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz to ./data/MNIST/raw/train-labels-idx1-ubyte.gz
Extracting ./data/MNIST/raw/train-labels-idx1-ubyte.gz to ./data/MNIST/raw
Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz to ./data/MNIST/raw/t10k-images-idx3-ubyte.gz
Extracting ./data/MNIST/raw/t10k-images-idx3-ubyte.gz to ./data/MNIST/raw
Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz to ./data/MNIST/raw/t10k-labels-idx1-ubyte.gz
Extracting ./data/MNIST/raw/t10k-labels-idx1-ubyte.gz to ./data/MNIST/raw
Processing...
Done!
[PROF] NR_DATA number alice 24754
[PROF] CompBatch duration alice 0.01990509033203125
[PROF] FetchBatch duration alice 0.011424064636230469
[PROF] CompBatch duration alice 0.01406407356262207
[PROF] FetchBatch duration alice 0.00880122184753418
[PROF] CompBatch duration alice 0.014266014099121094
[PROF] FetchBatch duration alice 0.008877277374267578
[PROF] CompBatch duration alice 0.011904001235961914
[PROF] FetchBatch duration alice 0.00877070426940918
[PROF] CompBatch duration alice 0.011945247650146484
[PROF] FetchBatch duration alice 0.008826255798339844
[PROF] CompBatch duration alice 0.012437105178833008
[PROF] FetchBatch duration alice 0.008927345275878906
[PROF] CompBatch duration alice 0.012095212936401367
[PROF] FetchBatch duration alice 0.008933544158935547
[PROF] CompBatch duration alice 0.011667728424072266
[PROF] FetchBatch duration alice 0.009003162384033203
[PROF] CompBatch duration alice 0.012079477310180664
[PROF] FetchBatch duration alice 0.008882761001586914
[PROF] CompBatch duration alice 0.015898466110229492
[PROF] FetchBatch duration alice 0.009009361267089844
[PROF] CompBatch duration alice 0.012279987335205078
[PROF] FetchBatch duration alice 0.008954524993896484
[PROF] CompBatch duration alice 0.014105081558227539
[PROF] FetchBatch duration alice 0.008900642395019531
[PROF] CompBatch duration alice 0.012218713760375977
[PROF] FetchBatch duration alice 0.00922536849975586
[PROF] CompBatch duration alice 0.012346029281616211
[PROF] FetchBatch duration alice 0.00881052017211914
[PROF] CompBatch duration alice 0.012407779693603516
[PROF] FetchBatch duration alice 0.009102344512939453
[PROF] CompBatch duration alice 0.012544393539428711
[PROF] FetchBatch duration alice 0.009198904037475586
[PROF] CompBatch duration alice 0.01238703727722168
[PROF] FetchBatch duration alice 0.008971929550170898
[PROF] CompBatch duration alice 0.012549877166748047
[PROF] FetchBatch duration alice 0.009051322937011719
[PROF] CompBatch duration alice 0.012312173843383789
[PROF] FetchBatch duration alice 0.008903264999389648
[PROF] CompBatch duration alice 0.013031482696533203
[PROF] FetchBatch duration alice 0.008874893188476562
[PROF] CompBatch duration alice 0.014248847961425781
[PROF] FetchBatch duration alice 0.009107589721679688
[PROF] CompBatch duration alice 0.013023853302001953
[PROF] FetchBatch duration alice 0.009010791778564453
[PROF] CompBatch duration alice 0.014558076858520508
[PROF] FetchBatch duration alice 0.009251594543457031
[PROF] CompBatch duration alice 0.013000011444091797
[PROF] FetchBatch duration alice 0.009264469146728516
[PROF] CompBatch duration alice 0.013145685195922852
[PROF] FetchBatch duration alice 0.009315729141235352
[PROF] CompBatch duration alice 0.012881040573120117
[PROF] FetchBatch duration alice 0.009267568588256836
[PROF] CompBatch duration alice 0.01540374755859375
[PROF] FetchBatch duration alice 0.009469747543334961
[PROF] CompBatch duration alice 0.012935400009155273
[PROF] FetchBatch duration alice 0.009238958358764648
[PROF] CompBatch duration alice 0.012652397155761719
[PROF] FetchBatch duration alice 0.009281396865844727
[PROF] CompBatch duration alice 0.012472152709960938
[PROF] FetchBatch duration alice 0.009122610092163086
[PROF] CompBatch duration alice 0.013071537017822266
[PROF] FetchBatch duration alice 0.009150981903076172
[PROF] CompBatch duration alice 0.012765169143676758
[PROF] FetchBatch duration alice 0.009275436401367188
[PROF] CompBatch duration alice 0.012508392333984375
[PROF] FetchBatch duration alice 0.008964300155639648
[PROF] CompBatch duration alice 0.012613773345947266
[PROF] FetchBatch duration alice 0.009294986724853516
[PROF] CompBatch duration alice 0.012521982192993164
[PROF] FetchBatch duration alice 0.009303808212280273
[PROF] CompBatch duration alice 0.012518167495727539
[PROF] FetchBatch duration alice 0.00915384292602539
[PROF] CompBatch duration alice 0.012435674667358398
[PROF] FetchBatch duration alice 0.00923609733581543
[PROF] CompBatch duration alice 0.011914253234863281
[PROF] FetchBatch duration alice 0.008891820907592773
[PROF] CompBatch duration alice 0.013504981994628906
[PROF] FetchBatch duration alice 0.009118080139160156
[PROF] CompBatch duration alice 0.012539863586425781
[PROF] FetchBatch duration alice 0.008878946304321289
[PROF] CompBatch duration alice 0.012686967849731445
[PROF] FetchBatch duration alice 0.009151220321655273
[PROF] CompBatch duration alice 0.012224197387695312
[PROF] FetchBatch duration alice 0.009192466735839844
[PROF] CompBatch duration alice 0.013079404830932617
[PROF] FetchBatch duration alice 0.00929403305053711
[PROF] CompBatch duration alice 0.012770891189575195
[PROF] FetchBatch duration alice 0.009292840957641602
[PROF] CompBatch duration alice 0.012555122375488281
[PROF] FetchBatch duration alice 0.009287357330322266
[PROF] CompBatch duration alice 0.0201265811920166
[PROF] FetchBatch duration alice 0.010721683502197266
[PROF] CompBatch duration alice 0.015554189682006836
[PROF] FetchBatch duration alice 0.009238481521606445
[PROF] CompBatch duration alice 0.012841224670410156
[PROF] FetchBatch duration alice 0.009150505065917969
[PROF] CompBatch duration alice 0.014415502548217773
[PROF] FetchBatch duration alice 0.009285688400268555
[PROF] CompBatch duration alice 0.01465463638305664
[PROF] FetchBatch duration alice 0.008915901184082031
[PROF] CompBatch duration alice 0.011938095092773438
[PROF] FetchBatch duration alice 0.009011507034301758
